title,authors,Annee,Pays,Journal,Quartile,Citations,Impact_Score,abstract_
Certifichain: Secure QR Codes for Blockchain-Verified Digital Credentials,"Yudha Purwanto, Muhammad Faris Ruriawan, Agus Virgono, Hamzah Fatihulhaq, + 5",2025,Germany,ACM Digital Library,Q1,151,7.57,N/A
TLD-SCA: A Transformer-LSTM Detection Model against Side-Channel Attack in Blockchain Payment Channel,"Tao Li, Fei Qiao, Yijia Wang, Kui Lu, Yan Lv, Yilei Wang",2025,UK,ACM Digital Library,Q2,25,4.24,N/A
Exploring Human-Centric Dimensions in Blockchain Smart Contracts,"Hanouf Al. Ghanmi, Sabreen Ahmadjee, Rami Bahsoon, Hayatullahi Bolaji Adeyemo",2026,Canada,ACM Digital Library,Q4,49,2.92,N/A
SoK: Blockchain Consensus in the Quantum Age,"Aleck Nash, Christian Eduardo Terron Garcia, Henry Chimal-Dzul, + 1",2025,India,ACM Digital Library,Q4,35,8.75,N/A
Blockchain Amplification Attack,"Taro Tsuchiya, Liyi Zhou, Kaihua Qin, Arthur Gervais, Nicolas Christin",2025,Germany,ACM Digital Library,Q1,53,5.96,N/A
Enhancing Blockchain Scalability using Off-Chain and Machine Learning Techniques,"Manjula K. Pawar, Prakashgoud Patil, P. S. Hiremath",2025,Brazil,ACM Digital Library,Q1,5,1.27,N/A
Enhancing Smart Contract Security on VNT Blockchain with an Advanced Graph Neural Network Approach,"Bang Pan, Chenyu Yan, Yunchao Wang, Qiang Wei",2025,Germany,ACM Digital Library,Q2,27,3.39,N/A
Accelerating Verifiable Queries over Blockchain Database System Using Processing-in-memory,"Yifan Hua, Shengan Zheng, Weihan Kong, Dongliang Xue, Ke Xi, + 3",2025,Brazil,ACM Digital Library,Q2,46,3.09,N/A
Blockchain-Based Decentralized Domain Name System,"Guang Yang, Peter Trinh, Amuru Serikyaku, Alma Nkemla, Edward Tatchim, Osman Sharaf",2025,India,ACM Digital Library,Q1,21,1.13,N/A
Blockchain Agnostic Protocols: An Analysis of the State of the Art,"Alessandro Bigiotti, Leonardo Mostarda, Alfredo Navarra, Andrea Pinna, + 3",2025,Germany,ACM Digital Library,Q1,19,9.84,N/A
Enhancing Certificate Revocation List Management in Vehicular Networks with Blockchain and Query Cumulative Filters,"Mengzhen Jiang, Jing Wu, Chengnian Long",2024,Germany,ACM Digital Library,Q3,89,9.9,N/A
Cross-Blockchain Communication Using Oracles With an Off-Chain Aggregation Mechanism Based on zk-SNARKs,"Michael Sober, Giulia Scaffino, Stefan Schulte",2024,Germany,ACM Digital Library,Q1,104,7.46,N/A
Aegis: Tethering a Blockchain with Primary-Chain Stake,"Yogev Bar-On, Roi Bar-Zur, Omer Ben-Porat, Nimrod Cohen, Ittay Eyal, + 1",2025,UK,ACM Digital Library,Q2,41,8.31,N/A
LETUS: A Log-Structured Efficient Trusted Universal BlockChain Storage,"Shikun Tian, Zhonghao Lu, Haizhen Zhuo, Xiaojing Tang, Peiyi Hong, + 6",2024,Brazil,ACM Digital Library,Q2,28,5.76,N/A
Identifying Suspicious Blockchain Transactions using Clustering with Explainability,"Jeyakumar Samantha Tharani, Eugene Yugarajah Andrew Charles, Punit Rathore, + 3",2025,France,ACM Digital Library,Q1,6,1.25,N/A
Blockchain in the Digital Twin Context: A Comprehensive Survey,"Dun Li, Dezhi Han, Noel Crespi, Roberto Minerva, Syed Mohsan Raza, + 3",2025,Brazil,ACM Digital Library,Q2,60,7.57,N/A
SoK: Systematizing Blockchain Interoperability through Layered Architecture and Layer 2 Interoperability,"Khalid Hassan, Aila Nik, Amirreza Sokhankhosh, Koosha Esmaeilzadeh Khorasani, + 2",2025,Germany,ACM Digital Library,Q1,185,9.74,N/A
The Impact of Blockchain Technology on Accounts Receivable Financing Model of Supply Chain Finance-Based on Three-Party Evolutionary Game Perspective,"Mingxin Yang, Zehao Ma",2024,USA,ACM Digital Library,Q1,57,9.55,N/A
Lightweight Consensus in Blockchain: A Systematic Literature Review,"Namrata Marium Chacko, Narendra V G, Mamatha Balachandra, Manoj T",2025,Germany,ACM Digital Library,Q2,178,9.92,N/A
LVMT: An Efficient Authenticated Storage for Blockchain,"Chenxing Li, Sidi Mohamed Beillahi, Guang Yang, Ming Wu, Wei Xu, Fan Long",2024,India,ACM Digital Library,Q1,13,3.27,N/A
"Blockchain-Empowered Trustworthy Data Sharing: Fundamentals, Applications, and Challenges","Thanh Linh Nguyen, Lam Nguyen, Thong Hoang, Dilum Bandara, Qin Wang, + 4",2025,Germany,ACM Digital Library,Q4,133,8.88,N/A
"Blockchain for Smart Logistics: Enhancing Identity Security, Bidding Transparency and Goods Tracking","Zoey Ziyi Li, Jun Zhao, Hui Cui, Erica Xin Zheng, Xin Ma, Dennis Y. W. Liu, + 1",2025,Canada,ACM Digital Library,Q1,13,1.38,N/A
MAP the Blockchain World: A Trustless and Scalable Blockchain Interoperability Protocol for Cross-chain Applications,"Yinfeng Cao, Jiannong Cao, Dongbin Bai, Long Wen, Yang Liu, Ruidong Li",2025,Brazil,ACM Digital Library,Q2,9,3.33,N/A
A Blockchain-Based Conditional Anonymous Authentication Scheme,"Sen Wang, Yin Zhang, Ling Xiong",2024,France,ACM Digital Library,Q4,23,1.78,N/A
Efficient DoS Attack Defense Strategy for Blockchain Networks Based on Bayesian Attack Graph and Stackelberg Game,"Tianyi Wang, Wei Tang, Chengyi Dong, Entang Li, Zhou Su, Jiliang Li",2025,UK,ACM Digital Library,Q2,28,9.37,N/A
"Blockchain, IoT, and AI-based framework for traceability in carbon capture utilization storage (CCUS) supply chain","Pratyush Kumar Patro, Adolf Acquaye, Raja Jayaraman, Khaled Salah",2024,China,ACM Digital Library,Q3,74,3.9,N/A
ArtChain: Blockchain-Enabled Platform for Art Marketplace,"Ziyuan Wang;
Lin Yang;
Qin Wang;
Donghai Liu;
Zhiyu Xu;
Shigang Liu",2019,Canada,IEEE Xplore,Q1,33,5.53,N/A
IEEE Draft Standard for Blockchain-based Electronic Contracts,Unknown,2021,Canada,IEEE Xplore,Q1,60,5.0,N/A
IEEE Draft Standard for the Use of Blockchain in Supply Chain Finance,Unknown,2021,Canada,IEEE Xplore,Q2,44,8.99,N/A
IEEE Approved Draft Standard for the Use of Blockchain in Supply Chain Finance,Unknown,2021,France,IEEE Xplore,Q2,32,8.13,N/A
Effective Scheme against 51% Attack on Proof-of-Work Blockchain with History Weighted Information,"Xinle Yang;
Yang Chen;
Xiaohu Chen",2019,China,IEEE Xplore,Q1,71,7.18,N/A
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge,"Alem Fitwi;
Yu Chen;
Sencun Zhu",2019,Brazil,IEEE Xplore,Q1,8,8.64,N/A
"Performance Analysis of a Hyperledger Fabric Blockchain Framework: Throughput, Latency and Scalability","Murat Kuzlu;
Manisa Pipattanasomporn;
Levent Gurses;
Saifur Rahman",2019,France,IEEE Xplore,Q3,52,2.92,N/A
ETH Relay: A Cost-efficient Relay for Ethereum-based Blockchains,"Philipp Frauenthaler;
Marten Sigwart;
Christof Spanring;
Michael Sober;
Stefan Schulte",2020,Canada,IEEE Xplore,Q1,25,5.14,N/A
Air Gapped Wallet Schemes and Private Key Leakage in Permissioned Blockchain Platforms,"Amanda Davenport;
Sachin Shetty",2019,France,IEEE Xplore,Q3,64,3.42,N/A
Understanding Blockchain Technology: Abstracting the Blockchain,Morgen Peck,2018,India,IEEE Xplore,Q3,76,6.38,N/A
Introduction to Blockchain,Akshay Mudgal,2021,Canada,IEEE Xplore,Q1,71,5.1,N/A
Subsidy-Chain: A Secure Blockchain-based Architecture for Subsidy Management and Tracking,"K Dyamalli;
Rupalagudi Likhitha;
Y Harshitha Reddy;
Monica N;
Arshiya Lubna;
Ashishika Singh",2025,Brazil,IEEE Xplore,Q2,37,2.91,N/A
"Blockchain security architecture: A review technology platform, security strength and weakness","Latifa Al-Abbasi;
Wael El-Medany",2019,Canada,IEEE Xplore,Q4,58,9.81,N/A
A High Performance Blockchain Platform for Intelligent Devices,"Shitang Yu;
Kun Lv;
Zhou Shao;
Yingcheng Guo;
Jun Zou;
Bo Zhang",2018,Germany,IEEE Xplore,Q2,121,6.74,N/A
IEEE Draft Standard for Application Technical Specification of Blockchain-based E-Commerce Transaction Evidence Collecting,Unknown,2021,USA,IEEE Xplore,Q1,160,8.92,N/A
IEEE Approved Draft Standard for Application Technical Specification of Blockchain-based E-Commerce Transaction Evidence Collecting,Unknown,2021,Canada,IEEE Xplore,Q1,44,2.78,N/A
Research and Design of Electric Power Engineering Project Management System Bsed on Blockchain Technology,"Qinglei Guo;
Shuai Chen;
Junsheng Wang;
Xiaoting Pan",2022,USA,IEEE Xplore,Q2,116,7.78,N/A
Routing Cross-Blockchain Communication,"Max Kobelt;
Michael Sober;
Stefan Schulte;
Leandro Rometsch",2025,USA,IEEE Xplore,Q4,93,5.52,N/A
Research and Implementation on the Operation and Transaction System Based on Blockchain Technology for Virtual Power Plant,"Da Li;
Qinglei Guo;
Desheng Bai;
Wei Zhang",2022,India,IEEE Xplore,Q2,33,8.42,N/A
Blockchain-Based Software Systems: Taxonomy Development,Lamia Alashaikh,2021,China,IEEE Xplore,Q4,125,8.93,N/A
Blockchain in Action,Bina Ramamurthy,2020,USA,IEEE Xplore,Q1,2,2.49,N/A
CoDAG: An Efficient and Compacted DAG-Based Blockchain Protocol,"Shu Yang;
Ziteng Chen;
Laizhong Cui;
Mingwei Xu;
Zhongxing Ming;
Ke Xu",2019,India,IEEE Xplore,Q4,76,4.25,N/A
Hybrid Blockchain Design for Privacy Preserving Crowdsourcing Platform,"Saide Zhu;
Huafu Hu;
Yingshu Li;
Wei Li",2019,India,IEEE Xplore,Q3,17,8.9,N/A
Performance Analysis of a Hyperledger Iroha Blockchain Framework Used in the UK Livestock Industry,"Konstantinos Ntolkeras;
Hossein Sharif;
Soroush Dehghan Salmasi;
William Knottenbelt",2021,France,IEEE Xplore,Q1,111,7.42,N/A
A Reputation Management Framework for Knowledge-Based and Probabilistic Blockchains,"Tara Salman;
Raj Jain;
Lav Gupta",2019,France,IEEE Xplore,Q1,27,1.38,N/A
Security Assessment Model for Blockchain Software and Hardware Fusion Device Based on Decision Tree Algorithm,"Ke Yang;
Shuang Sun;
Mingyang Lei;
Weiyu Wang;
Xiukui Pan",2023,Brazil,IEEE Xplore,Q2,22,4.54,N/A
Detection of Fake Physical Certificates using a Blockchain-Based Certificate Verification and Issuer Validation System,"Ankit K C;
Deepesh Bhandari;
Rojalina Priyadarshini;
Pramod Kumar Meher",2024,USA,IEEE Xplore,Q2,20,1.27,N/A
Blockchain-Based Charging Coordination Mechanism for Smart Grid Energy Storage Units,"Mohamed Baza;
Mahmoud Nabil;
Muhammad Ismail;
Mohamed Mahmoud;
Erchin Serpedin;
Mohammad Ashiqur Rahman",2019,Canada,IEEE Xplore,Q1,11,2.91,N/A
"Mastering Blockchain: A technical reference guide to the inner workings of blockchain, from cryptography to DeFi and NFTs",Imran Bashir,2023,India,IEEE Xplore,Q1,20,2.95,N/A
ChainSplitter: Towards Blockchain-Based Industrial IoT Architecture for Supporting Hierarchical Storage,"Gang Wang;
Zhijie Shi;
Mark Nixon;
Song Han",2019,Brazil,IEEE Xplore,Q1,113,5.67,N/A
IEEE Guide for an Architectural Framework for Blockchain‐Based Federated Machine Learning,Unknown,2025,USA,IEEE Xplore,Q4,125,7.4,N/A
Research on carbon accounting and verification technology for power generation industry based on blockchain,"Tingting Wen;
Zhe Du;
Qinglei Guo;
Xiukui Pan",2024,Germany,IEEE Xplore,Q2,86,8.6,N/A
Blockchain Explorer based on RPC-based Monitoring System,"Chaehyeon Lee;
Heegon Kim;
Sajan Maharjan;
Kyungchan Ko;
James Won-Ki Hong",2019,Germany,IEEE Xplore,Q1,145,7.68,N/A
Unlocking the Potential of Blockchain Integration in Secured Framework of Mental Health,"Shipra Swati;
Ritesh K. Mishra;
Alok Kumar;
Rajesh Ingle",2024,UK,IEEE Xplore,Q2,23,1.19,N/A
Concept of HAOpsSC: Toward Decentralized Operations for Ensuring High Availability in Consortium Blockchain-based Systems,"Tatsuya Sato;
Taku Shimosawa;
Nariyoshi Yamai",2025,Brazil,IEEE Xplore,Q1,92,5.81,N/A
"Toward a Decentralized, Trust-Less Marketplace for Brokered IoT Data Trading Using Blockchain","Shaimaa Bajoudah;
Changyu Dong;
Paolo Missier",2019,Germany,IEEE Xplore,Q1,14,7.14,N/A
Scalable Privacy-Preserving Query Processing over Ethereum Blockchain,"Shlomi Linoy;
Hassan Mahdikhani;
Suprio Ray;
Rongxing Lu;
Natalia Stakhanova;
Ali Ghorbani",2019,Brazil,IEEE Xplore,Q2,12,6.27,N/A
Rchain: A Universal and Efficient Redactable Blockchain Scheme,"Lingyuan Yin;
Jianfeng Shi;
Bin Xie;
Yang Liu",2025,China,IEEE Xplore,Q2,150,8.86,N/A
Blockchain Data Index Method Based on Improved Red-black Tree,"Ao Xiong;
Wenchuan Ma;
Yu Song;
Dong Wang;
Da Li;
Gaoming Jin;
Yezhang Cao",2025,China,IEEE Xplore,Q4,102,7.35,N/A
Containerchain: A Blockchain System Emulator based on Mininet and Containers,"Saul Gill;
Brian Lee;
Yuansong Qiao",2021,Brazil,IEEE Xplore,Q1,22,2.22,N/A
BrokerChain: A Blockchain Sharding Protocol by Exploiting Broker Accounts,"Huawei Huang;
Zhaokang Yin;
Qinde Chen;
Jian Zheng;
Xiaofei Luo;
Guang Ye;
Xiaowen Peng;
Zibin Zheng;
Song Guo",2025,Canada,IEEE Xplore,Q1,21,7.1,N/A
A Voting-Based Blockchain Interoperability Oracle,"Michael Sober;
Giulia Scaffino;
Christof Spanring;
Stefan Schulte",2021,India,IEEE Xplore,Q3,168,9.9,N/A
A Blockchain-based Customizable Document Registration Service for Third Parties,"Pamella Soares;
Raphael Saraiva;
Iago Fernandes;
Antônio Neto;
Jerffeson Souza",2022,India,IEEE Xplore,Q2,133,8.36,N/A
A Survey on Safety Regulation Technology of Blockchain Application and Blockchain Ecology,"Pengxu Shen;
Suozai Li;
Ming Huang;
Haoyu Gao;
Leixiao Li;
Jun Li;
Hong Lei",2022,France,IEEE Xplore,Q1,143,7.53,N/A
Blockchain-based Electronic Evidence Storage and Efficiency Optimization,"Zhikun Miao;
Chengxu Ye;
Ping Yang;
Ying Chen;
Yutao Chen",2021,France,IEEE Xplore,Q2,125,7.41,N/A
Blockchain based Digital Multimedia Content Authentication System: using IPFS and Ethereum,"Anurag Pandey;
Jayanti Rout;
Ashutosh Soni;
Surendra Kumar Nanda",2024,UK,IEEE Xplore,Q1,2,2.01,N/A
Research on Digital Finance Based on Blockchain Technology,Yuhan Zhu,2021,Canada,IEEE Xplore,Q3,21,7.21,N/A
An Evaluation Framework for Assessing IPFS Performance within a Blockchain-Based Healthcare System,"Ghassan Al-Sumaidaee;
Rami Alkhudary;
Zeljko Zilic;
Andraws Swidan",2023,France,IEEE Xplore,Q1,10,5.35,N/A
Design and Application of Product Traceability Blockchain-based Platform,"Yu Zhang;
Menglu Jin;
Guiping Zheng;
Hu Li",2020,India,IEEE Xplore,Q1,116,5.8,N/A
Research and Application of Renewable Energy Power Consumption Certificate Based on Blockchain,"Tingting Duan;
Da Li;
Qinglei Guo;
Hejian Wang;
Desheng Bai",2021,UK,IEEE Xplore,Q1,46,4.69,N/A
Investigating the Application of Nested NFTs on Consortium Blockchain for Enterprise Supply Chain Traceability Management,"Satoshi Ito;
Tatsuya Sato;
Takayuki Nagai;
Shinsuke Hasegawa;
Katsuhiro Fukunaka;
Taichi Umeda",2025,Brazil,IEEE Xplore,Q3,87,7.3,N/A
Blockchain Implementation for Analysis of Carbon Footprint across Food Supply Chain,"Denisolt Shakhbulatov;
Arshit Arora;
Ziqian Dong;
Roberto Rojas-Cessa",2019,UK,IEEE Xplore,Q1,9,9.75,N/A
A Novel Blockchain-Based IoT Data Provenance Model,"Shuang Sun;
Huayun Tang;
Rong Du",2022,Germany,IEEE Xplore,Q2,22,2.29,N/A
Privacy-Preserving and Incentive-Driven Relay-Based Framework for Cross-Domain Blockchain Interoperability,"Saeed Moradi;
Koosha Esmaeilzadeh Khorasani;
Sara Rouhani",2025,Canada,IEEE Xplore,Q2,140,8.8,N/A
IDNat-Blockchain: A Concept for Indonesia's National Blockchain,"Dea Saka Kurnia Putra;
Antonius Alfari",2021,France,IEEE Xplore,Q3,16,5.61,N/A
Research On Electricity Spot Market Trading System Based On Blockchain Technology,"Junwei Ma;
Jian Wu;
Weihua He;
Wenna Zhao;
Yitao Han;
Xiukui Pan;
Jingli Feng",2023,Brazil,IEEE Xplore,Q1,68,6.89,N/A
Notara: Efficient Blockchain Asset Notarization Service,"Guillermo Toyos-Marfurt;
Rouwaida Abdallah;
Álvaro García-Pérez",2024,USA,IEEE Xplore,Q1,31,3.13,N/A
Analysis of Blockchain Technology and its Application in the Field of Radio Monitoring,"Xiaoying Ma;
Meiying Wei;
Xiaoli Li;
Xiaofei Zhang",2021,USA,IEEE Xplore,Q4,58,4.49,N/A
Application of data storage management system in blockchain-based technology,"Xinyan Wang;
Jingli Jia;
Yuke Cao;
Jiacheng Du;
An Hu;
Yong Liu;
Zhiyong Wang",2023,Canada,IEEE Xplore,Q2,56,9.34,N/A
The Scope for Blockchain Ecosystem,Manisha Suri,2021,Brazil,IEEE Xplore,Q1,95,7.98,N/A
A Secure and Flexible Blockchain-Based Offline Payment Protocol,"Wanqing Jie;
Wangjie Qiu;
Arthur Sandor Voundi Koe;
Jianhong Li;
Yin Wang;
Yaqi Wu;
Jin Li;
Zhiming Zheng",2024,Canada,IEEE Xplore,Q4,50,5.02,N/A
Blockchain – Revolutionize Green Energy Management,Pholapatara Ratanasopitkul,2018,France,IEEE Xplore,Q2,26,4.46,N/A
Research on Deep Forgery Data Identification and Traceability Technology Based on Blockchain,"Ke Yang;
Da Li;
Qinglei Guo;
Hejian Wang;
Desheng Bai;
Xiukui Pan",2022,USA,IEEE Xplore,Q3,67,4.52,N/A
BlockIPFS - Blockchain-Enabled Interplanetary File System for Forensic and Trusted Data Traceability,"Emmanuel Nyaletey;
Reza M. Parizi;
Qi Zhang;
Kim-Kwang Raymond Choo",2019,USA,IEEE Xplore,Q1,25,3.67,N/A
Blockchain Dividing Based on Node Community Clustering in Intelligent Manufacturing CPS,"Suisheng Li;
Hong Xiao;
Hao Wang;
Tao Wang;
Jingwei Qiao;
Shaofeng Liu",2019,Germany,IEEE Xplore,Q3,7,7.24,N/A
An Innovative Blockchain System for Smart Grids,"Mandana Falahi;
Andrei Vasilateanu;
Nicolae Goga;
George Suciu;
Mari-Anais Sachian;
Robert Florescu;
Haider Abdullah Ali;
Yi Qian",2022,China,IEEE Xplore,Q2,49,8.32,N/A
Blockchain based Secure and Effective Authentication Mechanism for 5G Networks,"R Bala;
R Manoharan",2022,India,IEEE Xplore,Q2,4,0.74,N/A
A Blockchain-based Service for Public Sector Governance,"Jiayue Li;
Min Zhang;
Xiaofeng Jia;
Dingding Lin",2024,USA,IEEE Xplore,Q1,125,7.84,N/A
A First Analytics Approach to Cardano,"Sina Rafati Niya;
Ivana Mesić;
Georgios Anagnostou;
Gabriele Brunini;
Claudio J. Tessone",2023,USA,IEEE Xplore,Q1,137,9.83,N/A
IEEE Draft Standard for Framework of Blockchain-based Internet of Things (IoT) Data Management,Unknown,2020,India,IEEE Xplore,Q1,7,1.07,N/A
IEEE Approved Draft Standard for Framework of Blockchain-based Internet of Things (IoT) Data Management,Unknown,2020,Brazil,IEEE Xplore,Q1,48,8.05,N/A
Architectural Design Decisions for Blockchain-Based Applications,"Maximilian Wöhrer;
Uwe Zdun",2021,France,IEEE Xplore,Q4,13,6.81,N/A
Points Transaction Mechanisms Based on Blockchain Technology,"Jinfei Wu;
Jiayuan Zhang;
Rongxin Guo;
Wanting Tang",2022,India,IEEE Xplore,Q2,71,5.97,N/A
Blockchain for Embedded System Accountability,"Michael Chiu;
Abraham Goldsmith;
Uroš Kalabić",2021,Germany,IEEE Xplore,Q2,6,2.0,N/A
"Decentralized Blockchain-Driven Urban Parking System with IOTA for Management, Reservation, and Payment Integration in Smart Cities","Hala Ben Ali;
Lujain Amro;
Salahaldin Abukhalaf;
Anastassia Gharib",2025,Brazil,IEEE Xplore,Q3,154,8.57,N/A
Towards a Cross-Chain Genomic Data Interoperability Framework: Secure and Compliant Federated Data Exchange Using Private Blockchains,"Fatimah Alakeel;
Basil Alothman",2025,Germany,IEEE Xplore,Q3,2,2.33,N/A
A Security Reference Architecture for Blockchains,"Ivan Homoliak;
Sarad Venugopalan;
Qingze Hum;
Pawel Szalachowski",2019,Brazil,IEEE Xplore,Q2,98,9.86,N/A
VAULT: A Scalable Blockchain-Based Protocol for Secure Data Access and Collaboration,"Justin S. Gazsi;
Sajia Zafreen;
Gaby G. Dagher;
Min Long",2021,India,IEEE Xplore,Q1,86,7.22,N/A
Review of Modern Blockchain Platforms,Daria A. Snegireva,2021,Germany,IEEE Xplore,Q3,85,5.33,N/A
Research on Power Supply Traceability Mode Based on Blockchain,"Peng Liu;
Chunyu Deng;
Dazhong Wang",2022,India,IEEE Xplore,Q3,10,0.91,N/A
Towards Declarative Blockchains: A SHACL-Based Model for Robust and Efficient Transactions,"Kemafor Anyanwu;
Sogolsadat Mansouri;
David Adei",2025,France,IEEE Xplore,Q1,14,7.19,N/A
A Semantic Detection Incentive Mechanism For Blockchain Transactions Based on Evolutionary Game Theory in Web3 Ecosystem,"Zishuai Zhang;
Qinnan Zhang;
Wangjie Qiu;
Hongwei Zheng;
Shuyi Miao;
Wanqing Jie;
Jianming Zhu;
Jin Dong;
Zhiming Zheng",2025,India,IEEE Xplore,Q3,116,7.25,N/A
Testbed Design and Performance Analysis for Multilayer Blockchains,"De-Yi Tsai;
Seth Austin Harding;
Ming-Fong Sie;
Shih-wei Liao",2021,Canada,IEEE Xplore,Q3,22,3.75,N/A
Decentralized Ticketing: A Blockchain Solution for Secure and Fair Event Access,"Janhavi Nate;
Mahek Parmar;
Parth Shethia;
Preem Pareva;
Hezal Lopes",2025,UK,IEEE Xplore,Q4,8,0.77,N/A
Data Security Based on Blockchain Digital Currency,"Mengyi Xie;
Zuobin Liao;
Liting Huang",2020,Germany,IEEE Xplore,Q2,22,2.76,N/A
Incentivizing Sustainable Behaviour using Blockchain for Ecofriendly Transportation,"Shivam Barkule;
Priya Shelke;
Chaitali Shewale;
Suruchi Dedgoankar;
Pawan Wawage;
Pradnya Kulkarni",2024,Germany,IEEE Xplore,Q1,51,3.66,N/A
EduCoin: a Secure and Efficient Payment Solution for MOOC Environment,"Lingling Lu;
Jianhai Chen;
Zijun Tian;
Qinming He;
Butian Huang;
Yang Xiang;
Zhenguang Liu",2019,India,IEEE Xplore,Q1,50,5.04,N/A
Token-Based Sharing Control for IPFS,"Shigenori Ohashi;
Hiroki Watanabe;
Tatsuro Ishida;
Shigeru Fujimura;
Atsushi Nakadaira;
Junichi Kishigami",2019,Brazil,IEEE Xplore,Q2,3,3.29,N/A
A Hybrid Blockchain Architecture for Privacy-Enabled and Accountable Auctions,"Harsh Desai;
Murat Kantarcioglu;
Lalana Kagal",2019,UK,IEEE Xplore,Q2,49,7.09,N/A
NutBaaS: A Blockchain-as-a-Service Platform,"Weilin Zheng;
Zibin Zheng;
Xiangping Chen;
Kemian Dai;
Peishan Li;
Renfei Chen",2019,UK,IEEE Xplore,Q2,109,6.46,N/A
A Proxy-Layer Approach to Secure Smart Contract Deployment on Private EVM-Based PoA Blockchains,"Yonghao Wang;
Jahid Ali;
Junaid Arshad;
Yunxia Liu",2023,Brazil,IEEE Xplore,Q2,46,6.59,N/A
Exploring AIoT Blockchain Transaction Semantic Detection and Incentive Mechanism With Evolutionary Game Toward Web 3.0 Ecosystem,"Qinnan Zhang;
Zishuai Zhang;
Yiran Chen;
Misha Xu;
Zehui Xiong;
Jiequ Ji;
Wangjie Qiu;
Hongwei Zheng;
Jianming Zhu;
Jin Dong;
Zhiming Zheng",2025,Canada,IEEE Xplore,Q4,47,2.37,N/A
A Privacy-Preserving and Efficient Data Sharing Scheme Based on Blockchain in IIoT,"Hongyan Peng;
Yipeng Yang;
Dongcheng Li;
Peng Wang;
Peng Liu",2024,China,IEEE Xplore,Q3,41,6.91,N/A
Resident-Centric Government EV Charging Stations using Blockchain technology,"Padma J;
Kolli Likhita;
Sunkara Ravi Sailendra Charan;
Gadam Leela Krishna Vani Pradhayi;
Chebrolu Naga Vardhan",2024,India,IEEE Xplore,Q2,51,3.23,N/A
A Permissioned Blockchain Based Access Control System for IOT,"Md. Azharul Islam;
Sanjay Madria",2019,Germany,IEEE Xplore,Q2,70,4.4,N/A
Understanding Blockchain Technology: The Costs and Benefits of Decentralization,Morgen Peck,2018,Brazil,IEEE Xplore,Q2,2,0.55,N/A
